"OBÈINA/NASELJE","2011 Gostota naseljenosti","2012 Gostota naseljenosti","2013 Gostota naseljenosti","2014 Gostota naseljenosti","2015 Gostota naseljenosti","2016 Gostota naseljenosti","2017 Gostota naseljenosti","2018 Gostota naseljenosti","2019 Gostota naseljenosti","2020 Gostota naseljenosti"
"SLOVENIJA",101.1,101.4,101.6,101.7,101.8,101.8,101.9,102.0,102.7,103.4
"001 AJDOVŠÈINA",77.2,77.3,77.3,76.9,77.3,77.7,77.9,78.0,78.5,79.2
"001001 Ajdovšèina",957.5,960.4,949.1,945.7,948.9,958.8,962.7,960.7,968.0,984.4
"001002 Batuje",122.6,118.7,120.1,120.8,122.2,122.9,127.2,129.3,129.3,130.7
"001003 Bela",6.9,7.1,7.5,7.3,7.3,7.3,7.1,7.5,7.3,7.1
"001004 Brje",71.9,70.6,73.1,71.7,70.8,73.1,73.8,73.6,77.0,80.2
"001005 Budanje",154.8,154.0,155.2,155.0,156.7,155.2,157.1,157.6,158.9,159.5
"001006 Cesta",195.8,192.2,198.0,196.6,197.3,195.5,196.2,200.6,197.7,195.1
"001007 Col",189.5,193.7,200.2,196.0,195.6,191.0,189.5,186.4,186.4,192.6
"001008 Èrnièe",79.7,79.7,81.0,77.1,75.4,77.8,78.9,76.1,75.6,76.9
"001009 Dobravlje",136.9,142.2,141.9,143.5,144.1,140.9,141.9,146.0,146.0,146.0
"001010 Dolenje",90.1,87.5,88.4,83.1,82.2,88.4,87.5,85.7,84.0,82.2
"001011 Dolga Poljana",148.3,146.5,145.2,148.3,153.9,157.8,156.0,159.9,161.2,164.7
"001012 Gaberje",36.2,37.1,36.2,35.3,36.2,38.2,38.4,38.8,39.5,38.8
"001013 Gojaèe",34.8,35.6,36.8,37.6,37.8,38.8,38.8,39.0,37.2,38.0
"001014 Gozd",17.9,17.9,17.8,17.8,17.9,18.2,17.8,18.4,17.9,18.2
"001015 Grivèe",17.5,19.5,20.0,20.3,20.9,22.3,22.6,22.6,22.3,22.8
"001016 Kamnje",43.1,42.9,45.4,45.8,45.8,45.4,43.1,43.6,44.0,46.7
"001017 Kovk",15.1,14.9,14.6,14.8,14.5,14.9,14.9,14.6,14.9,15.0
"001018 Kožmani",259.7,259.7,259.7,262.0,255.1,252.7,257.4,243.5,241.1,259.7
"001019 Križna Gora",1.2,1.2,1.1,1.2,1.2,1.0,1.1,1.0,1.0,0.9
